id,name
1,Medicine
2,Medical Powder
3,Bead
4,Snuff Soul
5,Chewing Soul
6,Precious Egg
7,Soma
8,Dis-Poison
9,Revival Bead
10,Balm of Life
11,Me Patra Gem
12,Muscle Drink
13,Odd Morsel
14,Rancid Gravy
15,Powerful Drug
16,Umugi Water
17,Amrita Water
18,Nihil Longsword
19,Dis-Rage
20,Dis-Charm
21,Treasure Box Cash
22,Purifying Rice
23,Curse Paper
24,Fierce Sutra
25,Agility Sutra
26,Protection Sutra
27,Flame Magatama
28,Gale Magatama
29,Frigid Magatama
30,Shock Magatama
31,0x401F
32,Patra Gem
33,Traesto Gem
34,Bead Chain
35,Magic Mirror
36,Attack Mirror
37,Dekaja Gem
38,Dekunda Gem
39,Homunculus
40,Plume of Dusk
41,Agilao Gem
42,Maragi Gem
43,Bufula Gem
44,Mabufu Gem
45,Garula Gem
46,Magaru Gem
47,Zionga Gem
48,Mazio Gem
49,Megido Gem
50,Trafuri Gem
51,0x4033
52,Sword of Page
53,Sword of Knight
54,Sword of Queen
55,Sword of King
56,Cup of Page
57,Cup of Knight
58,Cup of Queen
59,Cup of King
60,Wand of Page
61,Wand of Knight
62,Wand of Queen
63,Wand of King
64,Coin of Page
65,Coin of Knight
66,Coin of Queen
67,Coin of King
68,0x4044
69,Nihil Sword
70,Nihil Gloves
71,Nihil Spear
72,Nihil Bow
73,Nihil Axe
74,Nihil Knife
75,Nihil Gun
76,0x404C
77,0x404D
78,0x404E
79,0x404F
80,Rose Bouquet
81,Red Pine Bonsai
82,Mini Cactus
83,Glass Vase
84,Perfume
85,Brand Purse
86,Brand Watch
87,Brand Bag
88,Teddy Bear
89,Japanese Doll
90,Kaleidoscope
91,Goggle-eyed Idol
92,Jack Frost Doll
93,Book Cover
94,Lucky Charm
95,Ganesha Bank
96,Amethyst
97,Aquamarine
98,Emerald
99,Onyx
100,Opal
101,Garnet
102,Sapphire
103,Diamond
104,Turquoise
105,Topaz
106,Pearl
107,Ruby
108,Weird Takoyaki
109,Wild Burger
110,Instant Ramen
111,Side Dish
112,Dr. Salt
113,Mad Bull
114,SoBay
115,Moonkist
116,Cielo Mist
117,Nestea
118,BauerBar
119,Cylon Tea
120,1UP
121,Starvicks
122,Aguafeena
123,Durian Soda
124,Fountain Dew
125,Jumbo Juice
126,V6
127,Special Drink
128,Beetle Shell
129,Old Lantern
130,Yakisoba Bread
131,Apple Strudel
132,Cutlet Sandwich
133,Melon Bread
134,Crab Bread
135,Fried Bread
136,Coffee Jelly
137,Chocolate Cake
138,Fuuka's Cookie
139,Champagne
140,Medicated Patch
141,Handmade Keychain
142,0x408E
143,0x408F
144,Wealth Coin
145,Treasure Coin
146,Supreme Coin
147,Opulent Coin
148,Luxury Coin
149,Glorious Coin
150,Megidolaon Gem
151,Oden Juice
152,Super Cat Food
153,Red Quillon
154,White Quillon
155,Black Quillon
156,0x409C
157,0x409D
158,Lead Medal
159,Steel Medal
160,Bronze Medal
161,Silver Medal
162,Gold Medal
163,Anatomical Model
164,Gekkoukan Boogie
165,Queen Elizabeth
166,Mahjong Tile
167,Inari Sushi
168,Platinum Medal
169,Bronze Figurine
170,Snake Scale
171,Relic Fragment
172,Greasy Gear
173,Tiara's Hair
174,Knight's Reins
175,Empress's Mirror
176,Gold Handguard
177,Gold Ring
178,Red Armor Plate
179,Pink Feather
180,Moon Tablet
181,Sand of Time
182,Rainbow Hair
183,Bloody Button
184,Shadow Shard
185,Shadow Crystal
186,Empress's Mask
187,Vibrant Cloth
188,Beetle Horn
189,Golden Beard
190,Massive Wheel
191,Dense Rock
192,Broken Heart
193,Fine Statuette
194,Nama-yatsuhashi
195,Pickled Turnip
196,Konpeito
197,Mibu Cracker
198,Diet Food
199,Super Diet Food
200,Veggie Supplement
201,Health Supplement
202,Mega Protein
203,Sappy Jelly
204,Mind Supplement
205,Copper Doorknob
206,Silver Glasses
207,Golden Pacifier
208,Platinum Noseplug
209,Diamond Pickler
210,Steel Right Arm
211,Broken Wheel
212,Shining Beard
213,Ebon Heart
214,Fire Element
215,Thunder Element
216,Ice Element
217,Throne of Ruin
218,Burning Grail
219,Scarlet Choker
220,Infernal Armor
221,Bloody Horse
222,All-Seeing Eye
